"id","coverage","age","wage","cit","mar","educ","race","esr"
1,"No Coverage",58,0,"Citizen","Divorced","HS Degree","White","Employed Civilian"
2,"No Coverage",52,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
3,"No Coverage",40,0,"Non-citizen","Married","HS Degree","White","Employed Civilian"
4,"No Coverage",18,0,"Non-citizen","Married","HS Degree","White","Not in Labor Force"
5,"No Coverage",56,0,"Citizen","Divorced","HS Degree","White","Not in Labor Force"
6,"No Coverage",52,0,"Citizen","Divorced","Less than HS","Black","Not in Labor Force"
7,"No Coverage",62,0,"Citizen","Married","HS Degree","White","Not in Labor Force"
8,"No Coverage",26,0,"Citizen","Never Married","Less than HS","White","Unemployed"
9,"No Coverage",41,0,"Citizen","Married","HS Degree","Black","Not in Labor Force"
10,"No Coverage",23,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
11,"No Coverage",22,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
12,"No Coverage",19,0,"Citizen","Never Married","Less than HS","Black","Unemployed"
13,"No Coverage",30,0,"Non-citizen","Married","HS Degree","White","Not in Labor Force"
14,"No Coverage",25,0,"Citizen","Married","HS Degree","White","Employed Civilian"
15,"No Coverage",17,0,"Citizen","Never Married","Less than HS","White","Employed Civilian"
16,"No Coverage",69,0,"Non-citizen","Divorced","Less than HS","Asian","Not in Labor Force"
17,"No Coverage",35,0,"Non-citizen","Married","HS Degree","Other","Employed Civilian"
18,"No Coverage",37,0,"Non-citizen","Married","HS Degree","Other","Employed Civilian"
19,"No Coverage",34,0,"Citizen","Married","Less than HS","Black","Not in Labor Force"
20,"No Coverage",28,0,"Non-citizen","Separated","Less than HS","White","Not in Labor Force"
21,"No Coverage",48,0,"Citizen","Never Married","Less than HS","Black","Employed Civilian"
22,"No Coverage",41,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
23,"No Coverage",33,0,"Non-citizen","Separated","HS Degree","Black","Not in Labor Force"
24,"No Coverage",55,0,"Citizen","Married","HS Degree","White","Unemployed"
25,"No Coverage",25,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
26,"No Coverage",38,0,"Citizen","Divorced","HS Degree","Black","Unemployed"
27,"No Coverage",19,0,"Citizen","Never Married","Less than HS","Black","Unemployed"
28,"No Coverage",17,0,"Citizen","Never Married","Less than HS","Black","Not in Labor Force"
29,"No Coverage",33,0,"Citizen","Divorced","HS Degree","White","Employed Civilian"
30,"No Coverage",50,0,"Citizen","Divorced","HS Degree","White","Unemployed"
31,"No Coverage",46,0,"Citizen","Married","Less than HS","White","Not in Labor Force"
32,"No Coverage",30,0,"Non-citizen","Never Married","HS Degree","Other","Employed Civilian"
33,"No Coverage",29,0,"Non-citizen","Married","Less than HS","Other","Employed Civilian"
34,"No Coverage",23,0,"Non-citizen","Married","HS Degree","Other","Unemployed"
35,"No Coverage",35,0,"Non-citizen","Never Married","HS Degree","Other","Employed Civilian"
36,"No Coverage",58,0,"Citizen","Divorced","HS Degree","White","Employed Civilian"
37,"No Coverage",42,0,"Citizen","Divorced","Less than HS","Black","Employed Civilian"
38,"No Coverage",48,0,"Citizen","Divorced","HS Degree","Black","Employed Civilian"
39,"No Coverage",20,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
40,"No Coverage",54,0,"Citizen","Divorced","HS Degree","White","Unemployed"
