borough,neighborhood,building_class_category,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,sale_price,sale_date,sale_year,age
2,BATHGATE,01 ONE FAMILY DWELLINGS,10457,1,0,1,2500,1474,1901,241500,2018-08-17T00:00:00Z,2018,117
2,BATHGATE,01 ONE FAMILY DWELLINGS,10457,1,0,1,1578,1470,1899,180000,2018-03-22T00:00:00Z,2018,119
2,BATHGATE,01 ONE FAMILY DWELLINGS,10457,1,0,1,1694,1497,1899,246000,2017-11-06T00:00:00Z,2017,118
2,BATHGATE,01 ONE FAMILY DWELLINGS,10457,1,0,1,1694,1497,1899,255000,2018-03-05T00:00:00Z,2018,119
2,BATHGATE,01 ONE FAMILY DWELLINGS,10457,1,0,1,3525,1340,1899,380250,2017-09-29T00:00:00Z,2017,118
2,BATHGATE,01 ONE FAMILY DWELLINGS,10457,1,2,3,1293,2820,1952,325000,2017-11-13T00:00:00Z,2017,65
2,BATHGATE,01 ONE FAMILY DWELLINGS,10458,1,0,1,1103,1290,1910,340000,2018-02-22T00:00:00Z,2018,108
2,BATHGATE,01 ONE FAMILY DWELLINGS,10458,1,0,1,1650,1296,1910,210000,2018-02-15T00:00:00Z,2018,108
2,BATHGATE,01 ONE FAMILY DWELLINGS,10457,1,1,2,1791,1804,1899,305000,2018-07-18T00:00:00Z,2018,119
2,BATHGATE,01 ONE FAMILY DWELLINGS,10457,1,0,1,2356,2213,1901,365000,2018-02-23T00:00:00Z,2018,117
2,BATHGATE,01 ONE FAMILY DWELLINGS,10457,1,0,1,1556,1240,1901,365000,2018-03-22T00:00:00Z,2018,117
2,BATHGATE,01 ONE FAMILY DWELLINGS,10457,1,0,1,1209,1048,1901,375000,2018-06-19T00:00:00Z,2018,117
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10469,1,0,1,1786,1018,1945,420000,2018-01-22T00:00:00Z,2018,73
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10469,1,0,1,1710,1732,1945,330000,2018-05-21T00:00:00Z,2018,73
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10469,1,0,1,2375,1395,1935,10000,2017-09-13T00:00:00Z,2017,82
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10469,1,0,1,2375,1395,1935,30000,2017-09-15T00:00:00Z,2017,82
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10469,1,0,1,2058,1690,1950,375000,2018-02-23T00:00:00Z,2018,68
